Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
213;infrastructure;UPCD9B45D2;AC:22:05:64:47:77;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:32:36 2018;Wed Nov 21 06:32:43 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
214;infrastructure;Gironet;E8:DE:27:9A:4C:3E;;6;No;WPA2,WPA,AES-CCM;No;135.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:30 2018;Wed Nov 21 06:32:38 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
215;infrastructure;UPCCA8629B;AC:22:05:5E:AB:11;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:38 2018;Wed Nov 21 06:32:42 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
216;infrastructure;UPC Wi-Free;AE:22:15:5E:AB:11;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:32:25 2018;Wed Nov 21 06:32:38 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
217;infrastructure;UPC Wi-Free;C6:27:95:BB:83:37;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:38 2018;Wed Nov 21 06:32:42 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
218;infrastructure;HP-Print-09-LaserJet 400 color;08:3E:8E:72:DB:09;;6;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:38 2018;Wed Nov 21 06:32:38 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
219;infrastructure;Telekom-286846;8C:15:C7:E2:57:E8;;8;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:36 2018;Wed Nov 21 06:32:40 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
220;infrastructure;Clicknet-C79F;3C:DF:BD:78:C7:A8;;7;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:32:22 2018;Wed Nov 21 06:32:28 2018;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
221;infrastructure;Clicknet-D4DD;3C:DF:BD:22:D4:E6;;5;No;WPA2,AES-CCM;No;130.0;0;12;0;0;0;0;0;;;Wed Nov 21 06:32:21 2018;Wed Nov 21 06:32:29 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
222;infrastructure;TP-LINK_AB99C8;A0:F3:C1:AB:99:C8;;6;No;WPA2,WPA,AES-CCM;No;135.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:32:26 2018;Wed Nov 21 06:32:28 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
223;infrastructure;Tenda - Birou;C8:3A:35:C1:83:D8;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:26 2018;Wed Nov 21 06:32:27 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
224;infrastructure;alex;00:14:D1:D4:9B:34;;11;No;WPA,TKIP;No;54.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:32:25 2018;Wed Nov 21 06:32:30 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
225;infrastructure;d-link13;CC:B2:55:5A:40:1E;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:32:05 2018;Wed Nov 21 06:32:29 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
226;infrastructure;drobeta;94:0C:6D:EC:E9:F6;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:31 2018;Wed Nov 21 06:32:31 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
227;infrastructure;frankar;80:16:F9:30:94:84;;4;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:29 2018;Wed Nov 21 06:32:29 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
228;infrastructure;FamFuchs;AC:A2:13:A8:4D:A0;;6;No;WPA2,AES-CCM,TKIP;No;270.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:32:13 2018;Wed Nov 21 06:32:26 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
229;infrastructure;HUAWEI-dQQq;24:4C:07:CD:2D:00;;2;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;10;0;0;0;0;0;;;Wed Nov 21 06:32:02 2018;Wed Nov 21 06:32:15 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
230;infrastructure;Sfanta Maria;04:8D:38:13:56:F0;;6;No;OPN,None;No;270.0;0;7;0;0;0;0;0;;;Wed Nov 21 06:32:13 2018;Wed Nov 21 06:32:18 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
231;infrastructure;Sfanta Maria VIP;04:8D:38:13:56:EE;;6;No;WPA2,AES-CCM,TKIP;No;270.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:32:13 2018;Wed Nov 21 06:32:14 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
232;infrastructure;HUAWEI-4Uqs;3C:F8:08:55:07:90;;5;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:17 2018;Wed Nov 21 06:32:17 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
233;infrastructure;UPC Wi-Free;AE:22:15:E9:08:5A;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;11;0;0;0;0;0;;;Wed Nov 21 06:31:56 2018;Wed Nov 21 06:32:05 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
234;infrastructure;3Trunks;C4:E9:84:4A:EE:6C;;1;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:32:01 2018;Wed Nov 21 06:32:03 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
235;infrastructure;Flo;10:FE:ED:86:62:6C;;4;No;WPA2,WPA,AES-CCM;No;270.0;0;12;0;0;0;0;0;;;Wed Nov 21 06:31:55 2018;Wed Nov 21 06:32:03 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
236;infrastructure;Orange-q84M;24:BC:F8:C8:5D:B0;;11;No;WPA2,AES-CCM;No;130.0;0;24;0;0;0;0;0;;;Wed Nov 21 06:31:52 2018;Wed Nov 21 06:32:07 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
237;infrastructure;;E8:DE:27:AD:AC:86;;2;No;WPA2,AES-CCM;No;270.0;0;1;0;0;0;0;0;;;Wed Nov 21 06:32:05 2018;Wed Nov 21 06:32:06 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
238;infrastructure;UPC7DC212F;AC:22:05:E9:08:5A;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;15;0;10;0;0;10;;;Wed Nov 21 06:31:56 2018;Wed Nov 21 06:32:05 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
239;infrastructure;DIGI_8e9758;CC:50:0A:8E:97:58;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:32:05 2018;Wed Nov 21 06:32:06 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
240;infrastructure;UPC46FB6FF;AC:22:05:22:AB:B2;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;16;0;0;0;0;0;;;Wed Nov 21 06:31:41 2018;Wed Nov 21 06:31:53 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
241;infrastructure;UPC Wi-Free;92:5C:14:28:7D:5B;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:31:49 2018;Wed Nov 21 06:31:54 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
242;infrastructure;GheM-R17;00:14:D1:B7:7D:0D;;6;No;WPA2,TKIP;No;54.0;0;15;0;0;0;0;0;;;Wed Nov 21 06:31:41 2018;Wed Nov 21 06:31:52 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
243;infrastructure;UPC Wi-Free;AE:22:15:64:4B:7B;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;17;0;0;0;0;0;;;Wed Nov 21 06:31:43 2018;Wed Nov 21 06:31:52 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
244;infrastructure;alien_911;AC:22:05:64:4B:7B;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;16;0;2;0;0;2;;;Wed Nov 21 06:31:43 2018;Wed Nov 21 06:31:52 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
245;infrastructure;HUAWEI-2D7q;90:17:AC:5A:58:04;;7;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;12;0;0;0;0;0;;;Wed Nov 21 06:31:40 2018;Wed Nov 21 06:31:50 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
246;infrastructure;excelsior0;D8:5D:4C:FA:64:F6;;4;No;WPA2,WPA,AES-CCM,TKIP;No;135.0;0;6;0;1;0;0;1;;;Wed Nov 21 06:31:47 2018;Wed Nov 21 06:31:50 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
247;infrastructure;UPC Wi-Free;AE:22:15:22:AB:B2;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;18;0;0;0;0;0;;;Wed Nov 21 06:31:23 2018;Wed Nov 21 06:31:53 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
248;infrastructure;RIGADE;A4:2B:B0:D8:3A:D2;;2;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:31:49 2018;Wed Nov 21 06:31:50 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
249;infrastructure;excelsior2;C8:3A:35:3C:BB:F0;;4;No;WPA2,WPA,AES-CCM;No;270.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:31:47 2018;Wed Nov 21 06:31:52 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
250;infrastructure;excelsior4;E4:8D:8C:E5:96:FF;;4;No;WPA2,AES-CCM;No;270.0;0;17;0;1;0;0;1;;;Wed Nov 21 06:31:17 2018;Wed Nov 21 06:31:51 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
251;infrastructure;UPC Wi-Free;92:5C:14:C6:5A:DD;;9;No;WPA2,AES-CCM,TKIP;No;130.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:31:51 2018;Wed Nov 21 06:31:55 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
252;infrastructure;UPCD549CE3;54:67:51:6F:1B:2F;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;23;0;0;0;0;0;;;Wed Nov 21 06:31:28 2018;Wed Nov 21 06:31:42 2018;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
253;infrastructure;UPC2A2F196;AC:22:05:83:7F:DA;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;21;0;0;0;0;0;;;Wed Nov 21 06:31:30 2018;Wed Nov 21 06:31:41 2018;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
254;infrastructure;UPC Wi-Free;AE:22:15:83:7F:DA;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;21;0;0;0;0;0;;;Wed Nov 21 06:31:23 2018;Wed Nov 21 06:31:41 2018;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
255;infrastructure;CELEBRITY WiFi;AC:22:05:22:B7:41;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:31:35 2018;Wed Nov 21 06:31:39 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
256;infrastructure;UPC Wi-Free;AE:22:15:22:B7:41;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:31:35 2018;Wed Nov 21 06:31:39 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
257;infrastructure;UPC669FA53;AC:22:05:76:17:CE;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;19;0;0;0;0;0;;;Wed Nov 21 06:31:30 2018;Wed Nov 21 06:31:43 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
258;infrastructure;HUAWEI-9q89;F8:E8:11:3B:9B:DC;;10;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:31:39 2018;Wed Nov 21 06:31:43 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
259;infrastructure;UPCE9B4BC7;90:5C:44:FA:41:EF;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;7;0;0;0;0;0;;;Wed Nov 21 06:31:32 2018;Wed Nov 21 06:31:40 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
260;infrastructure;Wifi Odobescu;70:4F:57:D0:32:0C;;1;No;WPA2,AES-CCM;No;270.0;0;14;0;0;0;0;0;;;Wed Nov 21 06:31:29 2018;Wed Nov 21 06:31:38 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
261;infrastructure;UPC Wi-Free;92:5C:14:28:D4:55;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;34;0;0;0;0;0;;;Wed Nov 21 06:31:22 2018;Wed Nov 21 06:31:39 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
262;infrastructure;Diana;94:44:52:CC:00:20;;5;No;WPA2,AES-CCM,TKIP;No;130.0;0;25;0;0;0;0;0;;;Wed Nov 21 06:31:18 2018;Wed Nov 21 06:31:39 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
263;infrastructure;UPC Wi-Free;3A:60:77:7D:BE:29;;1;No;WPA2,AES-CCM;No;130.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:31:36 2018;Wed Nov 21 06:31:41 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
264;infrastructure;UPC0856585;64:7C:34:89:6D:A8;;6;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;12;0;0;0;0;0;;;Wed Nov 21 06:31:35 2018;Wed Nov 21 06:31:41 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
265;infrastructure;Orange-Qmm3;24:BC:F8:DD:E2:E0;;7;No;WPA2,AES-CCM;No;270.0;0;11;0;0;0;0;0;;;Wed Nov 21 06:31:31 2018;Wed Nov 21 06:31:41 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
266;infrastructure;UPC Wi-Free;06:7C:34:89:6D:A8;;6;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:31:35 2018;Wed Nov 21 06:31:41 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
267;infrastructure;UPC778148;38:60:77:7D:BE:27;;1;No;WPA2,AES-CCM;No;130.0;0;7;0;0;0;0;0;;;Wed Nov 21 06:31:36 2018;Wed Nov 21 06:31:41 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
268;infrastructure;UPC Wi-Free;92:5C:14:FA:41:EF;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:31:32 2018;Wed Nov 21 06:31:40 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
269;infrastructure;DIGI-24-748CD2;80:8C:97:74:8C:D2;;5;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:31:35 2018;Wed Nov 21 06:31:39 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
270;infrastructure;HUAWEI-3EMW;7C:A2:3E:97:46:6C;;9;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:31:42 2018;Wed Nov 21 06:31:42 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
271;infrastructure;ILIOR2.4;60:E3:27:C0:2A:85;;11;No;WPA2,AES-CCM;No;130.0;0;11;0;1;0;0;1;;;Wed Nov 21 06:31:18 2018;Wed Nov 21 06:31:27 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
272;infrastructure;burcea;70:4F:57:B2:5F:04;;1;No;WPA2,WPA,AES-CCM,TKIP;No;195.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:31:23 2018;Wed Nov 21 06:31:29 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
273;infrastructure;DIGI-253B;04:BD:70:98:73:7C;;1;No;WPA2,WPA,AES-CCM;No;65.0;0;15;0;0;0;0;0;;;Wed Nov 21 06:31:02 2018;Wed Nov 21 06:31:28 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
274;infrastructure;dlink_DWR-921;78:54:2E:9E:60:B2;;11;No;WPA2,AES-CCM;No;65.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:31:27 2018;Wed Nov 21 06:31:31 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
275;infrastructure;HUAWEI-JANd;70:79:90:D7:87:F8;;4;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;4;0;1;0;0;1;;;Wed Nov 21 06:31:25 2018;Wed Nov 21 06:31:26 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
276;infrastructure;UPC Wi-Free;46:32:C8:9D:6D:A8;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;15;0;0;0;0;0;;;Wed Nov 21 06:31:19 2018;Wed Nov 21 06:31:27 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
277;infrastructure;aza;C4:6E:1F:87:E0:08;;6;No;WPA2,WPA,AES-CCM;No;270.0;0;25;0;0;0;0;0;;;Wed Nov 21 06:31:14 2018;Wed Nov 21 06:31:27 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
278;infrastructure;UPC1323907;44:32:C8:9D:6D:A6;;6;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;16;0;1;0;0;1;;;Wed Nov 21 06:31:19 2018;Wed Nov 21 06:31:27 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
279;infrastructure;DIGI_c2aa08;CC:06:77:C2:AA:08;;11;No;WPA2,AES-CCM;No;130.0;0;26;0;12;0;0;12;;;Wed Nov 21 06:31:10 2018;Wed Nov 21 06:31:27 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
280;infrastructure;mistik;74:D0:2B:2E:C9:BC;;11;No;WPA2,AES-CCM;No;65.0;0;2;0;1;0;0;1;;;Wed Nov 21 06:31:18 2018;Wed Nov 21 06:31:27 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
281;infrastructure;Bogdan;04:8D:38:4F:A9:2C;;6;No;WPA2,AES-CCM,TKIP;No;270.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:31:31 2018;Wed Nov 21 06:31:31 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
282;infrastructure;CDS #Private;06:18:D6:6D:9B:81;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:31:13 2018;Wed Nov 21 06:31:15 2018;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
283;infrastructure;CDS #Guest;16:18:D6:6D:9B:81;;11;No;OPN,None;No;130.0;0;9;0;1;0;0;1;;;Wed Nov 21 06:31:10 2018;Wed Nov 21 06:31:15 2018;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
284;infrastructure;FCM;1C:B7:2C:D2:79:C4;;1;No;WPA2,AES-CCM;No;270.0;0;13;0;1;0;0;1;;;Wed Nov 21 06:31:02 2018;Wed Nov 21 06:31:19 2018;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
285;infrastructure;UPC8661162;64:7C:34:44:F8:3A;;11;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;10;0;0;0;0;0;;;Wed Nov 21 06:31:14 2018;Wed Nov 21 06:31:18 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
286;infrastructure;UPC Wi-Free;92:5C:14:28:21:23;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;30;0;0;0;0;0;;;Wed Nov 21 06:30:49 2018;Wed Nov 21 06:31:18 2018;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
