Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;ZFTRW;F0:9C:E9:91:9F:96;;6;No;WPA2,AES-CCM;No;195.0;0;42;0;7;0;0;7;;;Wed Nov 21 06:08:13 2018;Wed Nov 21 06:37:15 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;trwwhse;F0:9C:E9:91:9F:97;;6;No;WPA2,AES-CCM;No;54.0;0;113;0;0;0;0;0;;;Wed Nov 21 06:08:13 2018;Wed Nov 21 06:37:15 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;TRWBYOD;F0:9C:E9:91:9F:94;;6;No;WPA2,AES-CCM;No;54.0;0;108;0;0;0;0;0;;;Wed Nov 21 06:08:13 2018;Wed Nov 21 06:37:16 2018;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Orange-76C178CF;8C:0D:76:C1:78:CF;;13;No;WPA2,AES-CCM;No;130.0;0;25;0;0;0;0;0;;;Wed Nov 21 06:08:09 2018;Wed Nov 21 06:37:17 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;INCUBOXX - Mikrotik;6C:3B:6B:C5:34:47;;4;No;OPN,None;No;270.0;0;155;0;0;0;0;0;;;Wed Nov 21 06:08:11 2018;Wed Nov 21 06:37:18 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;Acumen Development I;AC:9E:17:EB:0B:C0;;7;No;WPA2,AES-CCM;No;195.0;0;46;0;14;0;0;14;;;Wed Nov 21 06:08:14 2018;Wed Nov 21 06:37:16 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;Orange-Flo;8C:EB:C6:EC:57:A8;;5;No;WPA2,AES-CCM;No;130.0;0;17;0;0;0;0;0;;;Wed Nov 21 06:08:13 2018;Wed Nov 21 06:37:15 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;BeeSpeed Visitors 1st Floor L;C8:3A:35:58:A3:80;;11;No;WPA2,AES-CCM;No;130.0;0;13;0;0;0;0;0;;;Wed Nov 21 06:08:21 2018;Wed Nov 21 06:37:04 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;Solutii Timisoara;C0:EA:E4:C2:B6:BB;;6;No;WPA2,WPA,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:09:06 2018;Wed Nov 21 06:37:07 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;trwwhse;E0:1C:41:62:E9:94;;11;No;WPA2,AES-CCM;No;54.0;0;9;0;0;0;0;0;;;Wed Nov 21 06:09:06 2018;Wed Nov 21 06:37:07 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;Lasting-Guest;C0:EA:E4:C2:B6:BA;;6;No;WPA2,WPA,AES-CCM;No;195.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:09:06 2018;Wed Nov 21 06:37:07 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;Meo Company;9C:37:F4:32:61:60;;11;No;WPA2,AES-CCM;No;65.0;0;10;0;0;0;0;0;;;Wed Nov 21 06:36:50 2018;Wed Nov 21 06:37:02 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;HP-Print-0F-Officejet Pro 8620;34:64:A9:67:F8:0F;;1;No;WPA2,AES-CCM;No;54.0;0;6;0;0;0;0;0;;;Wed Nov 21 06:09:03 2018;Wed Nov 21 06:37:07 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;GSG Gestiune Service;F4:F2:6D:FE:7A:BE;;7;No;WPA2,WPA,AES-CCM;No;405.0;0;13;0;0;0;0;0;;;Wed Nov 21 06:08:47 2018;Wed Nov 21 06:37:04 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;Lasting-Software;C0:EA:E4:C2:BF:60;;8;No;WPA2,WPA,AES-CCM;No;195.0;0;2;0;0;0;0;0;;;Wed Nov 21 06:09:07 2018;Wed Nov 21 06:37:05 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;Solutii Timisoara;C0:EA:E4:C2:BD:D5;;2;No;WPA2,WPA,AES-CCM;No;195.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:36:52 2018;Wed Nov 21 06:37:03 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
